#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:8.83 tex:15227 mv:2305 misc:6476 imb:3600 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:25.69 aq:16.53 tex:110329 mv:15734 misc:561 imb:2770 pmb:53 smb:777 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.69 aq:11.00 tex:912 mv:562 misc:374 imb:0 pmb:2752 smb:848 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.69 aq:11.00 tex:35 mv:32 misc:277 imb:1 pmb:5 smb:3594 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:25.69 aq:17.17 tex:49773 mv:18304 misc:2003 imb:1002 pmb:917 smb:1681 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:25.69 aq:18.77 tex:20241 mv:19021 misc:1450 imb:386 pmb:1298 smb:1916 d:s ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:21.69 aq:13.08 tex:113760 mv:25528 misc:1232 imb:994 pmb:1682 smb:924 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:24.06 aq:15.31 tex:124185 mv:25687 misc:1152 imb:1216 pmb:1327 smb:1057 d:s ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:24.03 aq:16.14 tex:40235 mv:23773 misc:2248 imb:387 pmb:1638 smb:1575 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:24.02 aq:17.04 tex:32648 mv:20955 misc:2349 imb:381 pmb:1364 smb:1855 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:24.04 aq:16.86 tex:19453 mv:15134 misc:2669 imb:145 pmb:1365 smb:2090 d:- ref:0 ;
in:13 out:11 type:P dur:2 cpbdur:2 q:20.06 aq:11.16 tex:194541 mv:24702 misc:1189 imb:675 pmb:1962 smb:963 d:s ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:24.00 aq:17.72 tex:9518 mv:8596 misc:2254 imb:70 pmb:827 smb:2703 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:24.03 aq:17.52 tex:13071 mv:13456 misc:2625 imb:82 pmb:1258 smb:2260 d:s ref:0 ;
in:17 out:14 type:P dur:2 cpbdur:2 q:21.21 aq:10.92 tex:160511 mv:22992 misc:1345 imb:833 pmb:1863 smb:904 d:s ref:0 ;
in:15 out:15 type:B dur:2 cpbdur:2 q:21.20 aq:13.24 tex:43707 mv:18841 misc:2324 imb:107 pmb:1935 smb:1558 d:s ref:0 ;
in:14 out:16 type:b dur:2 cpbdur:2 q:21.19 aq:14.62 tex:20473 mv:13627 misc:2772 imb:66 pmb:1398 smb:2136 d:s ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:21.20 aq:14.96 tex:14600 mv:10087 misc:2737 imb:38 pmb:1278 smb:2284 d:- ref:0 ;
in:21 out:18 type:P dur:2 cpbdur:2 q:20.64 aq:11.34 tex:108630 mv:18326 misc:1780 imb:373 pmb:1848 smb:1379 d:s ref:0 ;
in:19 out:19 type:B dur:2 cpbdur:2 q:21.20 aq:13.78 tex:25403 mv:13586 misc:2651 imb:59 pmb:1545 smb:1996 d:s ref:0 ;
in:18 out:20 type:b dur:2 cpbdur:2 q:21.21 aq:15.10 tex:15847 mv:11214 misc:2643 imb:28 pmb:1367 smb:2205 d:s ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:21.20 aq:14.85 tex:9644 mv:8061 misc:2695 imb:20 pmb:1105 smb:2475 d:- ref:0 ;
in:25 out:22 type:P dur:2 cpbdur:2 q:20.10 aq:11.83 tex:538364 mv:19656 misc:556 imb:2529 pmb:241 smb:830 d:s ref:0 ;
in:23 out:23 type:B dur:2 cpbdur:2 q:20.63 aq:12.56 tex:55328 mv:12516 misc:2348 imb:159 pmb:1695 smb:1746 d:s ref:0 ;
in:22 out:24 type:b dur:2 cpbdur:2 q:20.63 aq:14.82 tex:12714 mv:7883 misc:2579 imb:30 pmb:1072 smb:2498 d:s ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:20.63 aq:14.29 tex:18768 mv:8401 misc:2735 imb:106 pmb:1107 smb:2387 d:- ref:0 ;
in:29 out:26 type:P dur:2 cpbdur:2 q:19.04 aq:11.25 tex:319603 mv:25805 misc:648 imb:901 pmb:2144 smb:555 d:s ref:0 ;
in:27 out:27 type:B dur:2 cpbdur:2 q:20.09 aq:14.00 tex:77722 mv:26735 misc:1871 imb:142 pmb:2231 smb:1227 d:s ref:0 ;
in:26 out:28 type:b dur:2 cpbdur:2 q:20.09 aq:15.39 tex:33501 mv:16775 misc:2676 imb:59 pmb:1682 smb:1859 d:s ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:20.08 aq:15.49 tex:41156 mv:20356 misc:2432 imb:97 pmb:1926 smb:1577 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:20.46 aq:12.68 tex:219660 mv:25028 misc:792 imb:696 pmb:1976 smb:928 d:s ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:20.45 aq:15.26 tex:61719 mv:24717 misc:2292 imb:123 pmb:1986 smb:1491 d:s ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:20.44 aq:15.87 tex:33585 mv:18014 misc:2537 imb:80 pmb:1828 smb:1692 d:t ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:20.46 aq:15.63 tex:39001 mv:20303 misc:2376 imb:108 pmb:1897 smb:1595 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:20.87 aq:13.77 tex:210652 mv:25867 misc:865 imb:804 pmb:1844 smb:952 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:20.87 aq:14.62 tex:75489 mv:28028 misc:1971 imb:211 pmb:2036 smb:1353 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:20.86 aq:16.43 tex:38723 mv:20414 misc:2439 imb:114 pmb:1838 smb:1648 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:20.87 aq:15.72 tex:41949 mv:21457 misc:2410 imb:142 pmb:1875 smb:1583 d:- ref:0 ;
in:39 out:38 type:P dur:2 cpbdur:2 q:21.01 aq:13.69 tex:176763 mv:24684 misc:873 imb:799 pmb:1880 smb:921 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:21.01 aq:16.09 tex:45933 mv:20377 misc:2370 imb:155 pmb:1847 smb:1598 d:s ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:21.36 aq:10.26 tex:234297 mv:18607 misc:552 imb:2677 pmb:156 smb:767 d:s ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:21.36 aq:14.78 tex:129178 mv:25542 misc:1536 imb:546 pmb:1927 smb:1127 d:s ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:21.36 aq:16.28 tex:41181 mv:20633 misc:2370 imb:152 pmb:1842 smb:1606 d:t ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:21.36 aq:16.60 tex:67063 mv:19556 misc:2221 imb:362 pmb:1715 smb:1523 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:21.44 aq:10.53 tex:101165 mv:21659 misc:960 imb:1416 pmb:1250 smb:934 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:21.44 aq:12.77 tex:37351 mv:20386 misc:2327 imb:269 pmb:1749 smb:1582 d:s ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:21.44 aq:14.03 tex:17970 mv:12858 misc:2724 imb:132 pmb:1411 smb:2057 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:21.44 aq:13.57 tex:15849 mv:13462 misc:2657 imb:87 pmb:1556 smb:1957 d:- ref:0 ;
in:48 out:48 type:I dur:2 cpbdur:2 q:18.13 aq:7.80 tex:280052 mv:53890 misc:506 imb:3600 pmb:0 smb:0 d:s ref:;
in:51 out:49 type:P dur:2 cpbdur:2 q:21.85 aq:10.67 tex:88749 mv:22070 misc:1165 imb:1223 pmb:1312 smb:1065 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:21.85 aq:13.63 tex:18470 mv:16098 misc:2728 imb:220 pmb:1456 smb:1924 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:21.85 aq:13.47 tex:15066 mv:15539 misc:2747 imb:203 pmb:1469 smb:1928 d:s ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:21.58 aq:11.82 tex:75848 mv:21556 misc:1452 imb:1118 pmb:1355 smb:1127 d:s ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:21.84 aq:12.82 tex:24960 mv:17771 misc:2533 imb:252 pmb:1598 smb:1750 d:t ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:21.85 aq:13.94 tex:12999 mv:12450 misc:2743 imb:134 pmb:1352 smb:2114 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:21.84 aq:14.03 tex:13120 mv:11869 misc:2747 imb:116 pmb:1351 smb:2133 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:21.74 aq:11.67 tex:54998 mv:20654 misc:1636 imb:1106 pmb:1317 smb:1177 d:s ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:21.73 aq:12.80 tex:26399 mv:17452 misc:2517 imb:206 pmb:1687 smb:1707 d:s ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:21.73 aq:13.68 tex:12432 mv:12377 misc:2735 imb:101 pmb:1379 smb:2120 d:s ref:0 ;
